marca,modelo,preco_parcelado,preco_avista,parcelas,valor_parcela,url
Oggi,Bicicleta Oggi Hacker Sport Preto/Verde,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Bicicleta-Oggi-Hacker-Sport-Preto/Verde
TSW,Bicicleta Aro 29 Tsw Rava Pressure 21V Preto/Cinza Mecanico 12137,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretocinza-21v-mecanico-12137
TSW,Bicicleta Aro 29 Rava Storm Limited Amarelo/Preto,5599.00,5319.05,12x,466.58,https://www.darien.com.br/bicicleta-aro-29-rava-storm-limited-amarelopreto
Nathor,Bicicleta Aro 12 Nathor Cat,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-12-nathor-cat
TSW,Bicicleta Aro 29 Tsw Rava Pressure 21V Preto/Verde/Azul Mecanico 12143,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretoverdeazul-21v-mecanico-12143
Nathor,Bicicleta Aro 16 Nathor Tech Boys Preto/Azul,549.90,522.40,12x,45.82,https://www.darien.com.br/Bicicleta-Aro-16-Nathor-Tech-Boys
Scott,Bicicleta Aro 29 Scott Scale 925 (2021) Preto,23999.90,22799.90,12x,1999.99,https://www.darien.com.br/bicicleta-aro-29-scott-scale-925-2021-preto
Dvorak,Bicicleta Aro 29 Dvorak 18V Hidraulico Preto/Vermelho,3399.90,3229.90,12x,283.32,https://www.darien.com.br/bicicleta-aro-29-dvorak-18v-hidraulico-pretovermelho
TSW,Bicicleta Aro 29 TSW Rava Pressure 27V Preto/Branco Hidraulico,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-27v-pretobranco-hidraulico
TSW,Bicicleta Aro 29 TSW Rava Nina 27V Preto/Rosa/Violeta,2899.90,2754.90,12x,241.66,https://www.darien.com.br/produto/bicicleta-aro-29-tsw-rava-nina-27v-pretorosavioleta.html
TSW,Bicicleta Aro 29 TSW Rava Ride Laranja 21V Mecanico,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-ride-laranja-21v-mecanico
Redstone,Bicicleta Aro 29 Redstone Aquila 27V Rosa/Branco/Verde,3499.90,3324.90,12x,291.66,https://www.darien.com.br/bicicleta-aro-29-redstone-aquila-27v-rosabrancoverde
TSW,Bicicleta Aro 29 Tsw Rava Pressure 21V Preto/Vermelho/Violeta Mecanico,1999.90,1899.90,12x,166.66,https://www.darien.com.br/produto/bicicleta-aro-29-tsw-rava-pressure-21v-pretovermelhovioleta-mecanico.html
Sense,Bicicleta Aro 29 Sense Impact Carbon Comp (2021) Verde/Cinza,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-sense-impact-carbon-comp-2021-verdecinza
TSW,Bicicleta Aro 29 TSW Hunch 24V Azul Metalico,3499.00,3324.05,12x,291.58,https://www.darien.com.br/produto/bicicleta-aro-29-tsw-hunch-24v-azul-metalico.html
Redstone,Bicicleta Aro 29 Redstone Aborygen 27V Preto/Verde/Cinza,4199.90,3989.90,12x,349.99,https://www.darien.com.br/bicicleta-aro-29-redstone-aborygen-27v-pretoverdecinza
Oggi,Oggi Agile Sport Deore Carbono (2021) Preto/Amarelo,12999.90,12349.90,12x,1083.33,https://www.darien.com.br/oggi-agile-sport-deore-carbono-2021-pretoamarelo
Nathor,Bicicleta Aro 16 Nathor Extreme Laranja/Preto,559.90,531.90,12x,46.66,https://www.darien.com.br/Bicicleta-Aro-16-Nathor-Extreme
Nathor,Bicicleta Aro 14 Nathor First Pro Masculina,599.90,569.90,12x,49.99,https://www.darien.com.br/Bicicleta-Aro-14-First-Pro-Masculina
Euroquadros,Bicicleta Aro 700 City Kayoba Elegance Svart Preta HC0516852,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-city-kayoba-elegance-svart-preta
Oggi,Bicicleta Aro 700 Eletrica Oggi E-Bike Lite Tour E-500 Preto/Verde,7999.90,7599.90,12x,666.66,https://www.darien.com.br/bicicleta-aro-700-eletrica-oggi-e-bike-lite-tour-e-500-pretoverde
TSW,Bicicleta Aro 29 TSW Hurry Pro 22V Verde/Dourado,6699.00,6364.05,12x,558.25,https://www.darien.com.br/bicicleta-aro-29-tsw-hurry-pro-22v-verdedourado
Oggi,Bicicleta Oggi Hacker Sport Preto e Vermelho,2299.90,2184.90,12x,191.66,https://www.darien.com.br/bicicleta-oggi-hacker-sport-preto-e-vermelho
Magias Italiane,Bicicleta FAT BOY Eletrica Magias Milano Vermelha,14999.90,14249.90,12x,1249.99,https://www.darien.com.br/Bicicleta-FAT-BOY-Eletrica-Magias-Milano-Vermelha
Oggi,Bicicleta Aro 29 Oggi Hacker HDS Grafite/Preto/Verde,2899.90,2754.90,12x,241.66,https://www.darien.com.br/oggi-hacker-hds-grafitepretoverde
,Bicicleta Aro 29 Sky 24V (F) Pink/Preto Hidraulico,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-sky-24v-f-pinkpreto-hidraulico
Trinx,Bicicleta Aro 29 Trinx M100 Pro/Max 24V Preto/Azul/Verde Citrico,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-trinx-m100-pro-24v-azulpretoverde-citrico
Scott,Bicicleta Aro 29 Scott Scale 940 (2021) Preto,17999.90,17099.90,12x,1499.99,https://www.darien.com.br/bicicleta-aro-29-scott-scale-940-2021-preto
Scott,Bicicleta Aro 29 Scott Scale 925 (2020) Preto Fosco,21799.90,20709.90,12x,1816.66,https://www.darien.com.br/bicicleta-aro-29-scott-scale-925-2020-preto-fosco
Magias Italiane,Bicicleta FAT BOY Eletrica Magias Milano Preta,14999.90,14249.90,12x,1249.99,https://www.darien.com.br/bicicleta-fat-boy-eletrica-magias-milano-preta
Sense,Bicicleta Aro 16 Sense Impact 2020 Cinza/Vermelho,1690.00,1605.50,12x,140.83,https://www.darien.com.br/bicicleta-aro-16-sense-impact-2020-cinzavermelho
TSW,Bicicleta Aro 29 Tsw Rava Pressure 21V Preto/Vermelho/Amarelo Mecanico 12135,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretovermelhoamarelo-21v-mecanico-12135
Oggi,Bicicleta Aro 29 Oggi Hacker Sport Preto/Laranja,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Hacker-Sport-2017-PretoLaranja
TSW,Bicicleta Aro 29 TSW Jump 27V Laranja,2899.90,2754.90,12x,241.66,https://www.darien.com.br/Mountain-Bike-Aro-29-TSW-Jump-27V-Laranja-11186
Oggi,Bicicleta Aro 24 Oggi Hacker Preto/Vermelho,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Mountain-Bike-Aro-24-Oggi-Hacker-2019-PretoVermelho
Oggi,Bicicleta Aro 24 Oggi Hacker Preto/Amarelo/Azul,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Mountain-Bike-Aro-24-Oggi-Hacker-2019-PretoAmareloAzul
Oggi,Mountain Bike Aro 29 Oggi Float Sport Tiffany Pto/Azul,2899.90,2754.90,12x,241.66,https://www.darien.com.br/mountain-bike-aro-29-oggi-float-sport-tiffany-ptoazul
Oggi,Mountain Bike Aro 29 Oggi Agile Pro Carbono GX (2019) Pto,2899.90,2754.90,12x,241.66,https://www.darien.com.br/mountain-bike-aro-29-oggi-agile-pro-carbono-gx-2019-pto
TSW,Bicicleta Aro 29 TSW Rava Vulcano 27V Hidráulico Preto/Laran,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-vulcano-27v-pretolaranja
Oggi,Bicicleta Aro 29 Oggi Hacker HDS (*) Pto/Amarelo/Verm,2899.90,2754.90,12x,241.66,https://www.darien.com.br/Mountain-Bike-Aro-29-Oggi-Hacker-HDS-2019-PtoAmareloVerm
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.2 18V Pto/Vd/Br,4899.90,4654.90,12x,408.32,https://www.darien.com.br/Mountain-Bike-Aro-29-Oggi-Big-Wheel-72-18V-2019-PtoVdBr
Oggi,Bicicleta Aro 29 Oggi Float 5.0 2020 Preta e Uva,4899.90,4654.90,12x,408.32,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Float-50-2019-PretaUva
Nathor,Bicicleta Aro 16 Nathor Top Girls Rosa Cesta,549.90,522.40,12x,45.82,https://www.darien.com.br/bicicleta-aro-16-nathor-top-girls-rosa-cesta
